Own_Rating_ID ,Own_Rating
1137,Negative
1138,Positive
1139,Positive
1140,Positive
1141,Negative
1142,Positive
1143,Positive
1144,Neutral
1145,Positive
1146,Positive
1147,Positive
1148,Positive
1149,Positive
1150,Positive
1151,Positive
1152,Positive
1153,Positive
1154,Positive
1155,Positive
1156,Positive
1157,Positive
1158,Neutral
1159,Positive
1160,Positive
1161,Positive
1162,Positive
1163,Positive
1164,Positive
1165,Positive
1166,Negative
1167,Positive
1168,Positive
1169,Positive
1170,Positive
1171,Positive
1172,Positive
1173,Positive
1174,Positive
1175,Positive
1176,Positive
1177,Positive
1178,Positive
1179,Positive
1180,Positive
1181,Positive
1182,Positive
1183,Positive
1184,Neutral
1185,Negative
1186,Positive
1187,Neutral
1188,Neutral
1189,Positive
1190,Positive
1191,Positive
1192,Positive
1193,Positive
1194,Positive
1195,Negative
1196,Neutral
1197,Positive
1198,Positive
1199,Positive
1200,Positive
1201,Positive
1202,Positive
1203,Positive
1204,Positive
1205,Neutral
1206,Negative
1207,Positive
1208,Positive
1209,Positive
1210,Positive
1211,Positive
1212,Positive
1213,Positive
1214,Positive
1215,Positive
1216,Positive
1217,Positive
1218,Positive
1219,Positive
1220,Neutral
1221,Negative
1222,Positive
1223,Positive
1224,Positive
1225,Positive
1226,Positive
1227,Positive
1228,Positive
1229,Positive
1230,Negative
1231,Positive
1232,Positive
1233,Positive
1234,Positive
1235,Negative
1236,Positive
1237,Positive
1238,Positive
1239,Negative
1240,Positive
1241,Positive
1242,Positive
1243,Positive
1244,Positive
1245,Positive
1246,Positive
1247,Negative
1248,Positive
1249,Neutral
1250,Positive
1251,Negative
1252,Positive
1253,Positive
1254,Positive
1255,Positive
1256,Positive
1257,Neutral
1258,Neutral
1259,Neutral
1260,Negative
1261,Positive
1262,Positive
1263,Positive
1264,Positive
1265,Positive
1266,Positive
1267,Positive
1268,Positive
1269,Negative
1270,Positive
1271,Positive
1272,Positive
1273,Neutral
1274,Positive
1275,Positive
1276,Positive
1277,Positive
1278,Negative
1279,Negative
1280,Neutral
1281,Positive
1282,Neutral
1283,Positive
1284,Positive
1285,Positive
1286,Negative
1287,Negative
1288,Positive
1289,Positive
1290,Neutral
1291,Positive
1292,Positive
1293,Positive
1294,Positive
1295,Positive
1296,Positive
1297,Positive
1298,Negative
1299,Negative
1300,Positive
1301,Negative
1302,Positive
1303,Positive
1304,Positive
1305,Positive
1306,Positive
1307,Positive
1308,Positive
1309,Positive
1310,Positive
1311,Positive
1312,Positive
1313,Positive
1314,Positive
1315,Positive
1316,Positive
1317,Positive
1318,Positive
1319,Positive
1320,Negative
1321,Positive
1322,Positive
1323,Positive
1324,Positive
1325,Positive
1326,Positive
1327,Negative
1328,Positive
1329,Positive
1330,Positive
1331,Negative
1332,Positive
1333,Positive
1334,Negative
1335,Positive
1336,Negative
1337,Positive
1338,Positive
1339,Positive
1340,Positive
1341,Positive
1342,Negative
1343,Negative
1344,Negative
1345,Neutral
1346,Positive
1347,Positive
1348,Positive
1349,Positive
1350,Positive
1351,Positive
1352,Neutral
1353,Positive
1354,Positive
1355,Positive
1356,Positive
1357,Positive
1358,Positive
1359,Positive
1360,Positive
1361,Positive
1362,Positive
1363,Positive
1364,Positive
1365,Positive
1366,Negative
1367,Positive
1368,Positive
1369,Positive
1370,Positive
1371,Positive
1372,Positive
1373,Positive
1374,Neutral
1375,Negative
1376,Positive
1377,Positive
1378,Positive
1379,Positive
1380,Negative
1381,Positive
1382,Positive
1383,Positive
1384,Positive
1385,Positive
1386,Positive
1387,Positive
1388,Positive
1389,Positive
1390,Positive
1391,Positive
1392,Neutral
1393,Negative
1394,Positive
1395,Positive
1396,Neutral
1397,Positive
1398,Positive
1399,Negative
1400,Positive
1401,Positive
1402,Positive
1403,Positive
1404,Positive
1405,Positive
1406,Positive
1407,Positive
1408,Neutral
1409,Positive
1410,Positive
1411,Negative
1412,Negative
1413,Positive
1414,Positive
1415,Positive
1416,Positive
1417,Positive
1418,Positive
1419,Positive
1420,Negative
1421,Positive
1422,Positive
1423,Negative
1424,Positive
1425,Negative
1426,Negative
1427,Negative
1428,Positive
1429,Positive
1430,Neutral
1431,Positive
1432,Positive
1433,Positive
1434,Positive
1435,Positive
1436,Positive
1437,Positive
1438,Positive
1439,Positive
1440,Positive
1441,Positive
1442,Positive
1443,Positive
1444,Positive
1445,Neutral
1446,Positive
1447,Positive
1448,Neutral
1449,Positive
1450,Positive
1451,Positive
1452,Positive
1453,Negative
1454,Positive
1455,Positive
1456,Positive
1457,Positive
1458,Positive
1459,Positive
1460,Positive
1461,Positive
1462,Positive
1463,Neutral
1464,Positive
1465,Positive
1466,Positive
1467,Positive
1468,Negative
1469,Negative
1470,Positive
1471,Positive
1472,Positive
1473,Positive
1474,Positive
1475,Negative
1476,Positive
1477,Positive
1478,Negative
1479,Positive
1480,Positive
1481,Positive
1482,Neutral
1483,Positive
1484,Positive
1485,Positive
1486,Positive
1487,Positive
1488,Positive
1489,Positive
1490,Positive
1491,Positive
1492,Neutral
1493,Positive
1494,Positive
1495,Positive
1496,Positive
1497,Positive
1498,Positive
1499,Positive
1500,Negative
1501,Positive
1502,Positive
1503,Positive
1504,Negative
1505,Positive
1506,Neutral
1507,Positive
1508,Negative
1509,Positive
1510,Negative
1511,Positive
1512,Positive
1513,Positive
1514,Positive
1515,Negative
1516,Positive
1517,Neutral
1518,Positive
1519,Positive
1520,Positive
1521,Negative
1522,Positive
1523,Positive
1524,Positive
1525,Positive
1526,Positive
1527,Positive
1528,Positive
1529,Positive
1530,Positive
1531,Positive
1532,Positive
1533,Positive
1534,Positive
1535,Positive
1536,Positive
1537,Positive
1538,Positive
1539,Positive
1540,Positive
1541,Positive
1542,Positive
1543,Positive
1544,Positive
1545,Negative
1546,Positive
1547,Positive
1548,Positive
1549,Positive
1550,Positive
1551,Positive
1552,Positive
1553,Positive
1554,Positive
1555,Positive
1556,Positive
1557,Negative
1558,Negative
1559,Negative
1560,Positive
1561,Positive
1562,Positive
1563,Positive
1564,Neutral
1565,Negative
1566,Positive
1567,Positive
1568,Positive
1569,Positive
1570,Negative
1571,Positive
1572,Positive
1573,Positive
1574,Positive
1575,Positive
1576,Positive
1577,Positive
1578,Positive
1579,Positive
1580,Positive
1581,Positive
1582,Negative
1583,Positive
1584,Positive
1585,Positive
1586,Negative
1587,Positive
1588,Negative
1589,Positive
1590,Positive
1591,Positive
1592,Neutral
1593,Negative
1594,Negative
1595,Positive
1596,Negative
1597,Positive
1598,Positive
1599,Neutral
1600,Positive
1601,Positive
1602,Positive
1603,Positive
1604,Negative
1605,Positive
1606,Negative
1607,Positive
1608,Negative
1609,Neutral
1610,Positive
1611,Neutral
1612,Positive
1613,Negative
1614,Negative
1615,Positive
1616,Negative
1617,Negative
1618,Positive
1619,Positive
1620,Positive
1621,Positive
1622,Positive
1623,Negative
1624,Positive
1625,Positive
1626,Positive
1627,Positive
1628,Positive
1629,Positive
1630,Positive
1631,Positive
1632,Positive
1633,Positive
1634,Positive
1635,Positive
1636,Positive
1637,Negative
1638,Positive
1639,Positive
1640,Positive
1641,Positive
1642,Positive
1643,Positive
1644,Positive
1645,Positive
1646,Negative
1647,Neutral
1648,Negative
1649,Positive
1650,Positive
1651,Positive
1652,Negative
1653,Positive
1654,Positive
1655,Positive
1656,Positive
1657,Positive
1658,Negative
1659,Positive
1660,Positive
1661,Positive
1662,Positive
1663,Negative
1664,Positive
1665,Positive
1666,Positive
1667,Positive
1668,Positive
1669,Positive
1670,Positive
1671,Negative
1672,Positive
1673,Neutral
1674,Neutral
1675,Positive
1676,Negative
1677,Positive
1678,Negative
1679,Positive
1680,Positive
1681,Positive
1682,Positive
1683,Negative
1684,Positive
1685,Positive
1686,Neutral
1687,Positive
1688,Positive
1689,Positive
1690,Positive
1691,Positive
1692,Negative
1693,Positive
1694,Negative
1695,Positive
1696,Negative
1697,Positive
1698,Positive
1699,Positive
1700,Neutral
1701,Positive
